allocation_id,employee_code,project_id,allocation_percentage,effective_from,effective_to,status,created_by,change_reason
1,EMP0001,PRJ001,80,2023-01-15,2023-06-30,completed,EMP0001,Initial allocation
2,EMP0001,PRJ002,20,2023-07-01,2023-12-31,completed,EMP0001,Project transition
3,EMP0001,PRJ001,60,2024-01-01,,active,EMP0001,Workload adjustment
4,EMP0002,PRJ001,100,2023-02-01,2023-08-31,completed,EMP0001,Full allocation
5,EMP0002,PRJ003,70,2023-09-01,2024-03-31,completed,EMP0001,New project
6,EMP0002,PRJ003,50,2024-04-01,,active,EMP0001,Reduced allocation
7,EMP0003,PRJ002,90,2023-01-01,2023-06-30,completed,EMP0001,Lead role
8,EMP0003,PRJ004,40,2023-07-01,2023-12-31,completed,EMP0001,Additional project
9,EMP0003,PRJ004,70,2024-01-01,,active,EMP0001,Increased responsibility
10,EMP0004,PRJ002,60,2023-02-15,2023-08-15,completed,EMP0001,Team member
11,EMP0004,PRJ005,80,2023-09-01,2024-02-29,completed,EMP0001,Project lead
12,EMP0004,PRJ005,50,2024-03-01,,active,EMP0001,Partial allocation
13,EMP0005,PRJ003,100,2023-03-01,2023-09-30,completed,EMP0001,Dedicated resource
14,EMP0005,PRJ001,30,2023-10-01,2024-04-30,completed,EMP0001,Support role
15,EMP0005,PRJ002,40,2024-05-01,,active,EMP0001,Current assignment
16,EMP0006,PRJ004,70,2023-01-01,2023-07-31,completed,EMP0001,Initial assignment
17,EMP0006,PRJ005,60,2023-08-01,2024-01-31,completed,EMP0001,Project transfer
18,EMP0006,PRJ003,80,2024-02-01,,active,EMP0001,Current project
19,EMP0007,PRJ001,50,2023-04-01,2023-10-31,completed,EMP0001,Team support
20,EMP0007,PRJ002,90,2023-11-01,2024-05-31,completed,EMP0001,Lead developer
21,EMP0007,PRJ004,60,2024-06-01,,active,EMP0001,Technical lead
22,EMP0008,PRJ005,100,2023-01-01,2023-08-31,completed,EMP0001,Full-time dedication
23,EMP0008,PRJ003,40,2023-09-01,2024-03-31,completed,EMP0001,Part-time support
24,EMP0008,PRJ001,70,2024-04-01,,active,EMP0001,Primary assignment
25,EMP0009,PRJ002,80,2023-02-01,2023-09-30,completed,EMP0001,Core team member
26,EMP0009,PRJ004,50,2023-10-01,2024-04-30,completed,EMP0001,Cross-functional role
27,EMP0009,PRJ005,90,2024-05-01,,active,EMP0001,Lead position
28,EMP0010,PRJ003,60,2023-03-15,2023-11-15,completed,EMP0001,Specialist role
29,EMP0010,PRJ001,40,2023-12-01,2024-06-30,completed,EMP0001,Additional support
30,EMP0010,PRJ002,80,2024-07-01,,active,EMP0001,Primary focus
31,EMP0011,PRJ004,100,2023-05-01,2024-01-31,completed,EMP0001,Dedicated resource
32,EMP0011,PRJ005,70,2024-02-01,,active,EMP0001,Current assignment
33,EMP0012,PRJ001,90,2023-01-01,2023-08-31,completed,EMP0001,Project lead
34,EMP0012,PRJ003,50,2023-09-01,2024-03-31,completed,EMP0001,Consulting role
35,EMP0012,PRJ004,60,2024-04-01,,active,EMP0001,Technical expert
36,EMP0013,PRJ002,70,2023-06-01,2024-02-29,completed,EMP0001,Development role
37,EMP0013,PRJ005,80,2024-03-01,,active,EMP0001,Lead developer
38,EMP0014,PRJ003,80,2023-02-15,2023-10-15,completed,EMP0001,Analyst role
39,EMP0014,PRJ001,60,2023-11-01,2024-05-31,completed,EMP0001,Support analyst
40,EMP0014,PRJ004,50,2024-06-01,,active,EMP0001,Business analyst
41,EMP0015,PRJ005,90,2023-04-01,2023-12-31,completed,EMP0001,Senior developer
42,EMP0015,PRJ002,40,2024-01-01,,active,EMP0001,Maintenance role
43,EMP0016,PRJ001,50,2023-07-01,2024-01-31,completed,EMP0001,Junior developer
44,EMP0016,PRJ003,70,2024-02-01,,active,EMP0001,Growing responsibility
45,EMP0017,PRJ004,80,2023-03-01,2023-11-30,completed,EMP0001,UI/UX specialist
46,EMP0017,PRJ005,60,2024-01-01,,active,EMP0001,Design lead
47,EMP0018,PRJ002,100,2023-08-01,2024-04-30,completed,EMP0001,Full stack developer
48,EMP0018,PRJ001,80,2024-05-01,,active,EMP0001,Senior developer
49,EMP0019,PRJ003,60,2023-01-15,2023-09-15,completed,EMP0001,Database specialist
50,EMP0019,PRJ004,70,2023-10-01,2024-04-30,completed,EMP0001,Data architect
51,EMP0019,PRJ005,50,2024-05-01,,active,EMP0001,Data consultant
52,EMP0020,PRJ001,40,2023-11-01,2024-07-31,completed,EMP0001,QA engineer
53,EMP0020,PRJ002,90,2024-08-01,,active,EMP0001,QA lead
54,EMP0021,PRJ004,90,2023-06-01,2024-02-29,completed,EMP0001,DevOps engineer
55,EMP0021,PRJ003,80,2024-03-01,,active,EMP0001,Infrastructure lead
56,EMP0022,PRJ005,70,2023-01-01,2023-08-31,completed,EMP0001,Product manager
57,EMP0022,PRJ001,60,2023-09-01,2024-03-31,completed,EMP0001,Product owner
58,EMP0022,PRJ002,50,2024-04-01,,active,EMP0001,Product strategy
59,EMP0023,PRJ003,50,2023-05-15,2024-01-15,completed,EMP0001,Scrum master
60,EMP0023,PRJ004,40,2024-02-01,,active,EMP0001,Agile coach
61,EMP0024,PRJ001,30,2023-02-01,2023-10-31,completed,EMP0001,Documentation
62,EMP0024,PRJ005,70,2023-11-01,2024-05-31,completed,EMP0001,Technical writer
63,EMP0024,PRJ002,60,2024-06-01,,active,EMP0001,Content specialist
64,EMP0025,PRJ004,80,2023-09-01,2024-05-31,completed,EMP0001,Security specialist
65,EMP0025,PRJ003,90,2024-06-01,,active,EMP0001,Security lead
66,EMP0026,PRJ005,60,2023-07-01,2024-03-31,completed,EMP0001,Performance analyst
67,EMP0026,PRJ001,50,2024-04-01,,active,EMP0001,Optimization specialist
68,EMP0027,PRJ002,70,2023-04-15,2023-12-15,completed,EMP0001,Integration specialist
69,EMP0027,PRJ004,80,2024-01-01,,active,EMP0001,API developer
70,EMP0028,PRJ003,40,2023-08-01,2024-04-30,completed,EMP0001,Support engineer
71,EMP0028,PRJ005,60,2024-05-01,,active,EMP0001,Maintenance lead
72,EMP0029,PRJ001,70,2023-10-01,2024-06-30,completed,EMP0001,Mobile developer
73,EMP0029,PRJ002,80,2024-07-01,,active,EMP0001,Mobile lead
74,EMP0030,PRJ004,50,2023-01-01,2023-09-30,completed,EMP0001,Cloud engineer
75,EMP0030,PRJ003,90,2023-10-01,2024-04-30,completed,EMP0001,Cloud architect
76,EMP0030,PRJ005,70,2024-05-01,,active,EMP0001,Cloud specialist
77,EMP0031,PRJ001,60,2023-03-01,2023-11-30,completed,EMP0001,Database administrator
78,EMP0031,PRJ004,80,2023-12-01,,active,EMP0001,Database architect
79,EMP0032,PRJ002,50,2023-05-15,2024-01-15,completed,EMP0001,Network engineer
80,EMP0032,PRJ005,70,2024-02-01,,active,EMP0001,Network specialist
81,EMP0033,PRJ003,90,2023-06-01,2024-02-29,completed,EMP0001,Systems analyst
82,EMP0033,PRJ001,60,2024-03-01,,active,EMP0001,Business analyst
83,EMP0034,PRJ004,40,2023-02-15,2023-10-15,completed,EMP0001,UI designer
84,EMP0034,PRJ002,80,2023-11-01,,active,EMP0001,UX designer
85,EMP0035,PRJ005,70,2023-08-15,2024-04-15,completed,EMP0001,DevOps engineer
86,EMP0035,PRJ003,90,2024-05-01,,active,EMP0001,Infrastructure lead
87,EMP0036,PRJ001,50,2023-04-01,2023-12-31,completed,EMP0001,Quality engineer
88,EMP0036,PRJ004,60,2024-01-15,,active,EMP0001,Test automation lead
89,EMP0037,PRJ002,80,2023-07-01,2024-03-31,completed,EMP0001,Backend developer
90,EMP0037,PRJ005,70,2024-04-15,,active,EMP0001,API architect
91,EMP0038,PRJ003,40,2023-09-15,2024-05-15,completed,EMP0001,Frontend developer
92,EMP0038,PRJ001,90,2024-06-01,,active,EMP0001,Frontend lead
93,EMP0039,PRJ004,60,2023-01-15,2023-09-15,completed,EMP0001,Data scientist
94,EMP0039,PRJ002,80,2023-10-01,,active,EMP0001,ML engineer
95,EMP0040,PRJ005,50,2023-11-01,2024-07-31,completed,EMP0001,Product manager
96,EMP0040,PRJ003,70,2024-08-15,,active,EMP0001,Product owner
97,EMP0041,PRJ001,80,2023-12-01,2024-08-31,completed,EMP0001,Scrum master
98,EMP0041,PRJ004,60,2024-09-01,,active,EMP0001,Agile facilitator
99,EMP0042,PRJ002,70,2023-03-15,2023-11-15,completed,EMP0001,Technical lead
100,EMP0042,PRJ005,90,2023-12-01,,active,EMP0001,Architecture lead
101,EMP0043,PRJ003,40,2023-05-01,2024-01-31,completed,EMP0001,Release engineer
102,EMP0043,PRJ001,80,2024-02-15,,active,EMP0001,Deployment specialist
103,EMP0044,PRJ004,60,2023-08-01,2024-04-30,completed,EMP0001,Site reliability engineer
104,EMP0044,PRJ002,70,2024-05-15,,active,EMP0001,Platform engineer
105,EMP0045,PRJ005,90,2023-10-15,2024-06-15,completed,EMP0001,Solutions architect
106,EMP0045,PRJ003,50,2024-07-01,,active,EMP0001,Technical consultant
107,EMP0046,PRJ001,40,2023-02-01,2023-10-31,completed,EMP0001,Business intelligence analyst
108,EMP0046,PRJ004,80,2023-11-15,,active,EMP0001,Data analyst
109,EMP0047,PRJ002,70,2023-06-15,2024-02-15,completed,EMP0001,Cybersecurity analyst
110,EMP0047,PRJ005,60,2024-03-01,,active,EMP0001,Security engineer
111,EMP0048,PRJ003,80,2023-04-01,2023-12-31,completed,EMP0001,Machine learning specialist
112,EMP0048,PRJ001,90,2024-01-15,,active,EMP0001,AI engineer
113,EMP0049,PRJ004,50,2023-07-15,2024-03-15,completed,EMP0001,Integration developer
114,EMP0049,PRJ002,70,2024-04-01,,active,EMP0001,Middleware specialist
115,EMP0050,PRJ005,60,2023-09-01,2024-05-31,completed,EMP0001,Cloud solutions architect
116,EMP0050,PRJ003,80,2024-06-15,,active,EMP0001,Cloud platform lead